id|roadmap_id|lat_start|long_start|bus_id
57|42574|6.237986714|-75.572543996|1
58|42595|6.238189072|-75.572455789|1
59|11390|6.238519828|-75.572336166|1
60|42668|6.238849514|-75.572199395|1
61|42745|6.239734262|-75.571842078|1
62|42827|6.240575939|-75.571494421|1
63|42911|6.241530939|-75.571102203|1
64|42924|6.241709792|-75.571020027|1
65|43008|6.242493516|-75.570676119|1
66|43106|6.243587367|-75.570258036|1
67|13053|6.24411994|-75.569992968|1
68|13066|6.244151542|-75.570066706|1
69|43195|6.244461503|-75.569905766|1
70|43305|6.245442719|-75.569466073|1
71|3741|6.195537209|-75.578304524|2
72|3820|6.19647283|-75.577896174|2
73|40409|6.196243811|-75.577368824|2
74|3778|6.19589849|-75.576812347|2
75|3734|6.195469153|-75.576394512|2
76|40370|6.195015141|-75.575933979|2
77|3586|6.193786754|-75.5764308139|2
78|40341|6.193040479|-75.5762457399|2
79|40400|6.19570697|-75.574864143|2
80|40435|6.197591976|-75.574271521|2
81|40484|6.199707691|-75.573155362|2
82|4215|6.200106988|-75.572928177|2
83|40532|6.200863407|-75.572501265|2
84|4569|6.203342672|-75.571623576|2
85|40638|6.205669611|-75.571372294|2
86|40655|6.206261672|-75.571465234|2
87|40747|6.208829566|-75.57094546|2
88|40776|6.209703889|-75.57063566|2
89|40812|6.210485273|-75.570343071|2
90|40834|6.211060122|-75.5701262119|2
91|5532|6.211120902|-75.570103355|2
92|40842|6.211263056|-75.5700498969|2
93|40856|6.211563741|-75.569970809|2
94|40885|6.212099673|-75.56990591|2
95|5744|6.212701334|-75.569885297|2
96|40915|6.212977438|-75.56987493|2
97|40978|6.214578132|-75.569873008|2
98|41022|6.21659865|-75.569854276|2
99|41073|6.218956783|-75.569566696|2
100|41104|6.220059853|-75.569336332|2
101|41193|6.222168158|-75.569203697|2
102|41214|6.222687932|-75.569127969|2
103|41262|6.223603562|-75.569103874|2
104|41314|6.224671717|-75.569148905|2
105|7374|6.225682661|-75.569136403|2
106|7706|6.227292447|-75.569328574|2
107|7771|6.227502432|-75.569401266|2
108|41677|6.22969753|-75.569738635|2
109|41797|6.231152075|-75.569849127|2
110|9733|6.233873606|-75.570033329|2
111|42209|6.234594851|-75.570082623|2
112|10254|6.235168691|-75.570135437|2
113|10871|6.236804375|-75.570303473|2
114|11167|6.237796187|-75.570361867|2
115|12095|6.240963285|-75.569688354|2
116|12133|6.241083067|-75.569642887|2
117|13724|6.246098454|-75.566771064|2
118|45427|6.263966627|-75.563174197|3
119|20038|6.263879336|-75.56256622|3
120|20003|6.263783968|-75.561929072|3
121|19966|6.263685043|-75.561346681|3
122|45391|6.263566229|-75.560608405|3
123|20208|6.264530579|-75.560429303|3
124|45516|6.265267669|-75.560303225|3
125|45507|6.265140857|-75.559590899|3
126|45554|6.265813537|-75.559467998|3
127|45603|6.266561847|-75.559367348|3
128|45590|6.266349054|-75.558293422|3
129|45596|6.266467921|-75.557010949|3
130|45585|6.266240335|-75.556776002|3
131|45557|6.265877019|-75.556586965|3
132|45515|6.265267121|-75.556485882|3
133|45527|6.265428589|-75.557328736|3
134|45542|6.265630065|-75.558412793|3
135|20306|6.264937089|-75.558525467|3
136|45480|6.264665734|-75.556974259|3
137|45469|6.264563474|-75.556376057|3
138|45450|6.264301427|-75.555531778|3
139|20123|6.264159096|-75.554311266|3
140|45497|6.265027201|-75.554208678|3
141|45490|6.264885985|-75.552990413|3
142|20272|6.264754847|-75.55180322|3
143|45483|6.264715006|-75.551508384|3
144|45522|6.265376698|-75.5513878|3
145|20386|6.265267165|-75.5512423019|3
146|45486|6.264797288|-75.550770665|3
147|20267|6.264739239|-75.550113857|3
148|45481|6.264680191|-75.549413564|3
149|20179|6.26437856|-75.549387313|3
150|45395|6.263602602|-75.549272215|3
151|45338|6.262911342|-75.549172618|3
152|19785|6.262953226|-75.549550462|3
153|19528|6.261968695|-75.549673602|3
154|45285|6.262332419|-75.5501161569|3
155|45323|6.262736257|-75.551571723|3
156|45366|6.263216689|-75.551503049|3
157|45371|6.263294078|-75.55211192|3
158|45375|6.26335364|-75.552630963|3
159|45318|6.26271558|-75.552903025|3
160|45292|6.262416639|-75.553128028|3
161|19587|6.262207067|-75.553317719|3
162|45267|6.262115264|-75.553816581|3
163|19234|6.26096931|-75.553831241|3
164|45127|6.260465592|-75.553389057|3
165|45061|6.259972676|-75.552672316|3
166|45002|6.259474027|-75.551991691|3
